City,State,2020 Max,2019 Max,2018 Max,2017 Max,2016 Max,2020 Mean,2019 Mean,2018 Mean,2017 Mean,2016 Mean
Birmingham,Alabama,3.164,1.794,1.94,1.64,2.38,0.333946,0.263202,0.341005,0.364436,0.440853
Fairfield,Alabama,1.2,1.8,1.8,1.6,3.7,0.183963,0.204744,0.198432,0.19041,0.338163
Anchorage,Alaska,4.372,3.463,4.599,4.712,4.424,0.385518,0.53413,0.526335,0.682745,0.697505
Fairbanks,Alaska,2.566,3.547,4.469,3.634,3.51,0.322474,0.37884,0.345062,0.363771,0.383501
Buckeye,Arizona,1.0,1.7,0.8,0.8,1.2,0.133168,0.220844,0.232694,0.200678,0.132396
Chandler,Arizona,1.4,1.6,2.4,1.8,2.0,0.313511,0.272687,0.289778,0.35683,0.365211
Mesa,Arizona,3.2,1.6,2.1,2.2,1.9,0.286593,0.213825,0.274377,0.279324,0.310555
Tempe,Arizona,1.8,1.8,2.0,2.0,2.0,0.766319,0.452505,0.415483,0.458938,0.484633
North Little Rock,Arkansas,1.3,2.6,1.2,1.7,1.2,0.286346,0.370085,0.285759,0.403377,0.294942
Mission Viejo,California,0.9,1.0,1.2,1.4,1.3,0.176078,0.194998,0.149399,0.207842,0.120844
Pico Rivera,California,2.3,1.9,2.0,2.5,2.8,0.407822,0.478333,0.39135,0.490741,0.440774
Fontana,California,1.5,2.7,1.9,1.7,1.7,0.25343,0.281267,0.320107,0.327077,0.201235
Eureka,California,1.7,1.2,1.3,2.2,1.3,0.27056,0.229214,0.213411,0.260599,0.237449
Santa Maria,California,1.062,3.465,3.465,1.07,3.654,0.179817,0.159662,0.172861,0.183944,0.182592
Santa Clarita,California,1.2,1.5,1.0,1.3,1.3,0.230919,0.231692,0.239379,0.262766,0.212587
Glendora,California,2.3,1.2,1.0,0.8,1.1,0.244305,0.320566,0.309454,0.21343,0.226998
Mira Loma,California,1.5,2.0,2.6,2.2,1.9,0.261269,0.264573,0.268468,0.269033,0.238925
San Francisco,California,1.8,1.2,1.9,2.5,1.7,0.321715,0.302292,0.347059,0.40422,0.392885
Los Angeles,California,1.5,1.8,1.8,2.1,1.6,0.216279,0.227499,0.279373,0.272206,0.255296
San Jose,California,2.4,2.0,2.8,2.6,2.5,0.572741,0.568169,0.616429,0.635514,0.605883
Lompoc,California,2.4,1.1,1.1,1.5,1.3,0.031679,0.071896,0.326248,0.307345,0.211218
Lancaster,California,1.0,1.4,1.2,1.3,2.6,0.186768,0.201164,0.213656,0.265004,0.251502
Lake Elsinore,California,0.8,1.6,1.1,1.2,1.2,0.276332,0.280076,0.235679,0.200012,0.036418
La Habra,California,2.1,2.6,3.0,3.8,3.1,0.216403,0.249176,0.271773,0.266506,0.271703
Oakland,California,2.0,1.5,2.1,1.9,1.6,0.439124,0.413318,0.454929,0.459495,0.419868
San Pablo,California,2.8,1.8,1.9,2.5,1.7,0.489594,0.365486,0.40767,0.336069,0.332992
San Rafael,California,2.1,1.4,2.0,2.6,1.4,0.301276,0.307839,0.357242,0.362571,0.348232
El Cajon,California,1.363,1.343,1.499,1.533,1.608,0.281758,0.303443,0.316341,0.32425,0.337447
Palm Springs,California,0.8,1.3,1.1,1.0,3.1,0.153294,0.162903,0.157651,0.049833,0.110511
Pasadena,California,2.6,1.5,2.0,2.2,1.5,0.320434,0.327002,0.371807,0.273171,0.266055
Upland,California,1.5,1.5,1.7,1.9,1.7,0.314837,0.350879,0.388885,0.495462,0.488758
Ontario,California,1.5,1.5,1.6,4.2,1.7,0.399233,0.371077,0.415707,0.44886,0.470904
Calexico,California,4.709,4.407,5.692,8.689,4.921,0.361702,0.23922,0.328758,0.324819,0.350411
Capitan,California,1.0,0.5,0.8,1.7,24.6,0.127652,0.169225,0.116715,0.122922,0.141679
Reseda,California,1.8,2.6,3.4,3.0,2.4,0.312076,0.390766,0.27601,0.410572,0.526849
Pomona,California,1.5,1.7,2.1,2.0,1.7,0.378021,0.395184,0.426545,0.457945,0.311755
Stockton,California,1.989,3.132,3.071,2.38,1.788,0.252594,0.258649,0.305985,0.286998,0.264152
Victorville,California,1.3,1.5,1.4,1.5,11.6,0.343858,0.336383,0.289591,0.38137,0.430761
Rubidoux,California,1.888,1.514,2.117,1.92,1.532,0.293774,0.298143,0.318248,0.323489,0.31955
Sacramento,California,4.345,1.473,3.292,1.871,1.6,0.289017,0.339394,0.34389,0.335411,0.275473
Bethel Island,California,2.4,1.8,2.2,1.6,2.0,0.443582,0.331064,0.343413,0.368344,0.367078
Barstow,California,0.6,0.6,5.4,0.8,3.8,0.118184,0.110027,0.17751,0.214844,0.205079
Bakersfield,California,0.85,1.25,1.95,1.85,1.44,0.203712,0.246327,0.277183,0.287505,0.267431
Azusa,California,2.4,1.6,1.4,1.8,1.3,0.326602,0.320296,0.365381,0.401986,0.336775
