Net generation for electric power,,,,,,,,,,,,,,,,,,,,,
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=vvvvvvvvvvvvo&sec=008&linechart=ELEC.GEN.ALL-US-98.A&columnchart=ELEC.GEN.ALL-US-98.A&map=ELEC.GEN.ALL-US-98.A&freq=A&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0",,,,,,,,,,,,,,,,,,,,,
Thu Feb 04 2021 20:30:08 GMT-0700 (Mountain Standard Time),,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,
description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Net generation for electric power,thousand megawatthours,,,,,,,,,,,,,,,,,,,,
United States,,ELEC.GEN..A,,,,,,,,,,,,,,,,,,,
United States : all fuels (utility-scale),thousand megawatthours,ELEC.GEN.ALL-US-98.A,3580053,3698458,3721159,3808360,3902192,3908077,4005343,3974349,3809837,3972386,3948186,3890358,3903715,3937003,3919294,3918078,3877453,4018167,3964656
United States : coal,thousand megawatthours,ELEC.GEN.COW-US-98.A,1882826,1910613,1952714,1957188,1992054,1969737,1998390,1968838,1741123,1827738,1717891,1500557,1567722,1568774,1340993,1229663,1197838,1142173,958732
United States : petroleum liquids,thousand megawatthours,ELEC.GEN.PEL-US-98.A,110260,75079,98593,95770,95667,41665,46970,30226,24341,22375,15343,12649,13207,17485,16626,12429,11848,15595,11080
United States : petroleum coke,thousand megawatthours,ELEC.GEN.PC-US-98.A,8889,14654,15105,18908,20814,18043,14336,12655,11471,12304,12859,7423,11303,10558,9879,10282,8192,8333,6238
United States : natural gas,thousand megawatthours,ELEC.GEN.NG-US-98.A,554940,607683,567303,627172,683829,734417,814752,802372,841006,901389,926290,1132791,1028949,1033172,1237656,1279380,1196753,1365822,1477042
United States : other gases,thousand megawatthours,ELEC.GEN.OOG-US-98.A,586,1970,2647,3568,3777,4254,4042,3200,3058,2967,2939,2984,4322,3358,3715,3912,4126,4086,4037
United States : nuclear,thousand megawatthours,ELEC.GEN.NUC-US-98.A,768826,780064,763733,788528,781986,787219,806425,806208,798855,806968,790204,769331,789016,797166,797178,805694,804950,807084,809409
United States : conventional hydroelectric,thousand megawatthours,ELEC.GEN.HYC-US-98.A,213749,260491,271512,265064,267040,286254,245843,253096,271506,258455,317531,273859,265058,258046,247636,266326,298711,291148,286652
